c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
N13.64;ICD10 2022;['ICD10', 'ICD10GM', 'ICD10CM'];3.0;1.0;N13.6
U69.54;ICD10 2022;['ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];23.0;2.0;U69.
044.9;ICD-9;['ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS', 'ICD10PCS'];10844.0;3.0;4
E66.98;ICD10 2022;['ICD10CM', 'ICD10', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];9.0;1.0;E66.9
G94.31;ICD10 2022;['ICD10', 'ICD10GM'];2.0;1.0;G94.3
I77.80;ICD10 2021;['ICD10CM', 'ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];9.0;1.0;I77.8
J36.0;ICD-10 V20;['ICD10CM', 'ICD10GM', 'ICD10'];3.0;2.0;J36
J98.12;ICD10 2022;['ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM', 'ICD10'];5.0;1.0;J98.1
K.07.2;ICD-10 V20;['ICD10CM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2275.0;5.0;K
K62.51;ICD10 2022;['ICD10', 'ICD10GM', 'ICD10CM'];3.0;1.0;K62.5
