c_prozedur_code;c_prozedur_katalog
1-277.0;OPS 2006
1-277.0;OPS 2018
1-277.0;OPS 2019
1-277.1;OPS 2005
1-279.0;OPS 2005
1-279.0;OPS 2019
1-279.0;OPS 2021
1-279.50;OPS 2019
1-279.51;OPS 2012
1-279.51;OPS 2020
1-279.6;OPS 2010
1-279.6;OPS 2017
1-279.6;OPS 2021
1-279.7;OPS 2008
1-279.7;OPS 2019
1-279.8;OPS 2017
1-279.8;OPS 2020
1-279.9;OPS 2011
1-279.9;OPS 2019
1-279.A;OPS 2007
1-279.B;OPS 2017
1-279.B;OPS 2018
1-279.B;OPS 2020
1-279.X;OPS 2008
1-279.X;OPS 2012
1-279.X;OPS 2014
1-279.X;OPS 2017
1-279.Y;OPS 2005
1-313;OPS 2004
1-313;OPS 2012
1-313.1;OPS 2022
1-314;OPS 2009
1-315;OPS 2005
1-315;OPS 2008
1-315;OPS 2010
1-315;OPS 2016
1-315;OPS 2022
1-316.0;OPS 2008
1-316.0;OPS 2016
1-316.0;OPS 2017
1-316.1;OPS 2007
1-316.1;OPS 2010
1-316.10;OPS 2019
1-316.X;OPS 2013
1-316.Y;OPS 2004
1-317.0;OPS 2014
1-317.0;OPS 2016
1-317.1;OPS 2005
1-317.1;OPS 2013
1-317.1;OPS 2016
1-318;OPS 2014
1-318;OPS 2021
1-318;OPS 2022
1-334.0;OPS 2011
1-334.0;OPS 2013
1-334.1;OPS 2017
1-335;OPS 2007
1-335;OPS 2017
1-336;OPS 2004
1-336;OPS 2011
1-336;OPS 2013
1-336;OPS 2021
1-400.Y;ops_v20
1-401.0;OPS 2016
1-401.0;OPS 2017
1-401.0;OPS 2020
1-401.3;OPS 2014
1-401.3;OPS 2017
1-401.5;OPS 2006
1-404.0;OPS 2009
1-404.0;OPS 2010
1-405.8;OPS 2013
1-405.8;OPS 2018
1-405.Y;OPS 2011
1-406.0;OPS 2005
1-406.2;OPS 2008
1-406.2;OPS 2014
1-406.2;OPS 2016
1-406.5;OPS 2010
1-406.5;OPS 2015
1-406.X;OPS 2008
1-407.2;OPS 2005
1-407.2;OPS 2012
1-407.2;OPS 2017
1-407.5;OPS 2018
1-407.5;OPS 2020
1-410;OPS 2019
1-411;OPS 2011
1-411;OPS 2018
1-411;OPS 2020
1-412.0;OPS 2004
1-412.0;OPS 2008
1-412.0;OPS 2011
1-412.0;OPS 2016
1-412.0;ops_v21
1-412.1;OPS 2013
1-412.1;OPS 2021
1-413.0;OPS 2012
1-413.0;OPS 2019
1-413.0;OPS 2020
1-413.1;OPS 2005
1-413.1;OPS 2017
1-413.1;OPS 2018
1-414.0;OPS 2008
1-414.0;OPS 2011
1-414.0;OPS 2016
1-414.1;OPS 2007
1-414.1;OPS 2011
1-414.1;OPS 2022
1-414.1;ops_v21
1-414.X;OPS 2008
1-414.X;OPS 2013
1-414.X;OPS 2020
1-415;OPS 2004
1-415;OPS 2011
1-415;OPS 2014
1-415;OPS 2018
1-415;ops_v21
1-420.0;OPS 2006
1-420.0;OPS 2012
1-420.0;OPS 2015
1-420.0;ops_v21
1-420.1;ICPM
1-420.1;OPS 2007
1-420.1;OPS 2014
1-420.1;OPS 2015
1-420.1;OPS 2016
1-420.2;OPS 2012
1-420.2;OPS 2017
1-420.3;OPS 2006
1-420.3;OPS 2017
1-420.4;OPS 2008
1-420.4;OPS 2020
1-420.4;OPS 2022
1-420.5;OPS 2005
1-420.5;OPS 2009
1-420.6;OPS 2008
1-420.6;OPS 2022
1-420.Y;OPS 2007
1-420.Y;OPS 2022
1-420.Y;ops_v20
1-421.0;OPS 2010
1-421.1;OPS 2007
1-421.2;OPS 2008
1-421.2;OPS 2022
1-421.X;OPS 2006
1-421.X;OPS 2015
1-421.X;OPS 2018
1-421.X;OPS 2020
1-421.X;ops_v21
1-421.Y;ops_v21
1-422.00;OPS 2010
1-422.00;OPS 2012
1-422.00;OPS 2016
1-422.00;OPS 2021
1-422.01;OPS 2007
1-422.01;OPS 2008
1-422.01;OPS 2009
1-422.01;OPS 2014
1-422.01;ops_v20
1-422.0X;OPS 2005
1-422.0X;OPS 2013
1-422.0X;OPS 2017
1-422.1;OPS 2012
1-422.2;OPS 2011
1-422.2;OPS 2013
1-422.2;OPS 2016
1-422.2;OPS 2017
1-422.2;OPS 2020
1-422.2;ops_v20
1-422.X;OPS 2010
1-422.X;OPS 2011
1-422.X;OPS 2021
1-422.Y;OPS 2014
1-422.Y;OPS 2019
1-424;OPS 2005
1-424;OPS 2013
1-424;OPS 2015
1-424;OPS 2018
1-424;OPS 2022
1-424;ops_v20
1-424;ops_v21
1-425.0;OPS 2005
1-425.0;OPS 2009
1-425.0;OPS 2011
1-425.0;OPS 2014
1-425.0;OPS 2017
1-425.0;OPS 2019
1-425.1;OPS 2006
1-425.1;OPS 2009
1-425.1;OPS 2011
1-425.1;OPS 2018
1-425.2;OPS 2021
1-425.3;OPS 2012
1-425.4;OPS 2021
1-425.5;OPS 2016
1-425.6;OPS 2009
1-425.6;OPS 2017
1-425.7;OPS 2011
1-425.7;OPS 2015
1-425.7;OPS 2019
1-425.8;OPS 2009
1-426.0;OPS 2011
1-426.0;OPS 2022
1-426.1;OPS 2021
1-426.2;OPS 2011
1-426.3;OPS 2005
1-426.3;OPS 2016
1-426.4;OPS 2004
1-426.4;OPS 2014
1-426.4;OPS 2015
1-426.4;OPS 2017
1-426.5;OPS 2009
1-426.5;OPS 2015
1-426.5;OPS 2017
1-426.5;OPS 2021
1-426.6;OPS 2005
1-426.6;OPS 2012
1-426.6;OPS 2020
1-426.7;OPS 2015
1-426.7;OPS 2018
1-426.7;OPS 2019
1-426.7;OPS 2022
1-426.8;OPS 2009
1-426.9;OPS 2015
1-426.Y;OPS 2008
1-430.0;OPS 2009
1-430.01;OPS 2021
1-430.0X;OPS 2020
1-430.1;OPS 2012
1-430.2;OPS 2004
1-430.2;OPS 2007
1-430.2;OPS 2014
1-430.2;OPS 2016
1-430.2;OPS 2017
1-430.21;OPS 2020
1-430.2X;OPS 2022
1-430.3;OPS 2008
1-430.3;OPS 2009
1-430.3;OPS 2010
1-430.3;OPS 2015
1-430.3;OPS 2016
1-430.X;OPS 2009
1-430.X;OPS 2016
1-430.Y;OPS 2009
1-431.0;OPS 2005
1-431.1;OPS 2009
1-432.00;OPS 2013
1-432.00;OPS 2018
1-432.02;OPS 2011
1-432.02;OPS 2014
1-432.1;OPS 2005
1-432.1;OPS 2008
1-432.12;ICPM
1-432.2;OPS 2011
1-432.2;OPS 2019
1-432.X;OPS 2008
1-432.X;OPS 2011
1-440.0;ops_v21
1-440.1;ops_v20
1-440.4;ops_v21
1-440.6;OPS 2015
1-440.6;OPS 2017
1-440.6;OPS 2021
1-440.7;OPS 2007
1-440.7;OPS 2012
1-440.7;OPS 2015
1-440.7;OPS 2021
1-440.8;OPS 2008
1-440.8;OPS 2017
1-440.8;OPS 2018
1-440.9;OPS 2007
1-440.9;OPS 2009
1-440.9;OPS 2012
1-440.9;OPS 2017
1-440.9;OPS 2018
1-440.X;OPS 2008
1-440.X;OPS 2009
1-440.X;OPS 2012
1-440.X;OPS 2015
1-441.0;OPS 2011
1-441.1;OPS 2004
1-441.2;OPS 2006
1-441.2;OPS 2015
1-441.2;ops_v21
1-442.0;OPS 2004
1-442.0;OPS 2006
1-442.0;OPS 2007
1-442.1;OPS 2014
1-442.1;OPS 2019
1-442.2;OPS 2004
1-442.2;OPS 2016
1-442.X;OPS 2007
1-442.X;OPS 2021
1-442.Y;OPS 2007
1-444.2X;ops_v20
1-444.6;OPS 2004
1-444.6;OPS 2006
1-444.6;OPS 2017
