;c_diagnose_1;c_diagnose_Catalog_1;mapped_Catalog;number_of_mappings;number_of_upsamplings;matchable_code
15;G94.31;ICD10 2022;['ICD10', 'ICD10GM'];2.0;1.0;G94.3
16;I77.80;ICD10 2021;['ICD10CM', 'ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];9.0;1.0;I77.8
17;J36.0;ICD-10 V20;['ICD10CM', 'ICD10GM', 'ICD10'];3.0;2.0;J36
18;J98.12;ICD10 2022;['ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM', 'ICD10'];5.0;1.0;J98.1
19;K.07.2;ICD-10 V20;['ICD10CM', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10', 'ICD10'];2275.0;5.0;K
20;K62.51;ICD10 2022;['ICD10', 'ICD10GM', 'ICD10CM'];3.0;1.0;K62.5
21;U69.55;ICD10 2022;['ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];23.0;2.0;U69.
22;I77.80;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10CM', 'ICD10GM'];9.0;1.0;I77.8
23;K65.09;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;K65.0
24;N13.20;ICD10 2022;['ICD10', 'ICD10CM', 'ICD10GM'];3.0;1.0;N13.2
25;S70.86;ICD10 2021;['ICD10', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM', 'ICD10GM'];7.0;1.0;S70.8
