;c_procedure_1;c_procedure_katalog_1;mapped_katalog;number_of_mappings;number_of_upsamplings;matchable_code
969;5-144.01;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
970;5-144.11;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
971;5-144.11;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
972;5-144.12;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
973;5-144.1x;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];91.0;2.0;5-144.
974;5-144.34;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.3
975;5-144.x1;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.x
976;5-144.x1;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.x
977;5-144.x1;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-144.x
978;5-145.23;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.2
979;5-145.24;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.2
980;5-145.x1;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.x
981;5-145.x4;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.x
982;5-145.x4;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-145.x
983;5-146.01;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.0
984;5-146.01;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.0
985;5-146.02;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.0
986;5-146.03;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.0
987;5-146.12;OPS 2006;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.1
988;5-146.13;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];18.0;1.0;5-146.1
989;5-155.8y;ops_v20;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-155.8
990;5-166.4;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];12.0;1.0;5-166.
991;5-190;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;1.0;Mai 19
992;5-191.0;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;3.0;Mai 19
993;5-191.1;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;3.0;Mai 19
994;5-191.1;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;3.0;Mai 19
995;5-191.x;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;3.0;Mai 19
996;5-191.y;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];58.0;3.0;Mai 19
997;5-193.01;ICPM;['OPS'];1.0;3.0;5-193
998;5-195.0;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;1.0;5-195.
999;5-195.1;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;1.0;5-195.
1000;5-195.11;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;2.0;5-195.
1001;5-195.4;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;1.0;5-195.
1002;5-195.5;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;1.0;5-195.
1003;5-195.5;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];26.0;1.0;5-195.
1004;5-195.x0;ICPM;['OPS'];1.0;1.0;5-195.x
1005;5-199.0;OPS 2004;['OPS'];1.0;2.0;5-199
1006;5-199.0;OPS 2005;['OPS'];1.0;2.0;5-199
1007;5-199.y;ops_v21;['OPS'];1.0;2.0;5-199
1008;5-200.00;ICPM;['OPS', 'OPS', 'OPS'];3.0;2.0;5-200.
1009;5-200.1;ops_v20;['OPS', 'OPS', 'OPS'];3.0;1.0;5-200.
1010;5-200.11;ICPM;['OPS', 'OPS', 'OPS'];3.0;2.0;5-200.
1011;5-200.2;OPS 2004;['OPS', 'OPS', 'OPS'];3.0;1.0;5-200.
1012;5-200.x0;ICPM;['OPS', 'OPS', 'OPS'];3.0;2.0;5-200.
1013;5-201.0;OPS 2004;['OPS'];1.0;2.0;5-201
1014;5-201.0;ops_v20;['OPS'];1.0;2.0;5-201
1015;5-203.6;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];9.0;1.0;5-203.
1016;5-204.21;ICPM;['OPS'];1.0;1.0;5-204.2
1017;5-209.10;OPS 2022;['OPS'];1.0;1.0;5-209.1
1018;5-209.1x;OPS 2022;['OPS'];1.0;1.0;5-209.1
1019;5-209.20;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS'];5.0;1.0;5-209.2
1020;5-212.30;ICPM;['OPS'];1.0;1.0;5-212.3
1021;5-214.1;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];12.0;1.0;5-214.
1022;5-214.10;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];12.0;2.0;5-214.
1023;5-217.20;ICPM;['OPS'];1.0;1.0;5-217.2
1024;5-218.30;ICPM;['OPS'];1.0;1.0;5-218.3
1025;5-218.31;ICPM;['OPS'];1.0;1.0;5-218.3
1026;5-221.00;OPS 2004;['OPS'];1.0;1.0;5-221.0
1027;5-221.10;ops_v21;['OPS'];1.0;1.0;5-221.1
1028;5-221.11;ops_v21;['OPS'];1.0;1.0;5-221.1
1029;5-221.1y;ops_v20;['OPS'];1.0;1.0;5-221.1
1030;5-221.20;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];7.0;2.0;5-221.
1031;5-221.2y;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];7.0;2.0;5-221.
1032;5-221.3;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];7.0;1.0;5-221.
1033;5-221.41;ops_v21;['OPS'];1.0;1.0;5-221.4
1034;5-221.50;ops_v21;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];7.0;2.0;5-221.
1035;5-221.x1;ops_v21;['OPS'];1.0;1.0;5-221.x
1036;5-223.4;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];10.0;1.0;5-223.
1037;5-229.0;OPS 2007;['OPS'];1.0;2.0;5-229
1038;5-229.1;OPS 2005;['OPS'];1.0;2.0;5-229
1039;5-229.x;OPS 2006;['OPS'];1.0;2.0;5-229
1040;5-229.x;ops_v21;['OPS'];1.0;2.0;5-229
1041;5-234.y;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];111.0;3.0;Mai 23
1042;5-235.22;ICPM;['OPS'];1.0;1.0;5-235.2
1043;5-237.2y;ops_v21;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-237.2
1044;5-244.04;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];6.0;1.0;5-244.0
1045;5-245.x;ICPM;['OPS', 'OPS', 'OPS'];3.0;1.0;5-245.
1046;5-253.10;ICPM;['OPS'];1.0;1.0;5-253.1
1047;5-253.11;ICPM;['OPS'];1.0;1.0;5-253.1
1048;5-272.00;ICPM;['OPS'];1.0;1.0;5-272.0
1049;5-272.01;ICPM;['OPS'];1.0;1.0;5-272.0
1050;5-272.42;ICPM;['OPS'];1.0;1.0;5-272.4
1051;5-276.3;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];8.0;1.0;5-276.
1052;5-292.1x;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];10.0;2.0;5-292.
1053;5-292.1x;OPS 2007;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];10.0;2.0;5-292.
1054;5-292.20;OPS 2005;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];10.0;2.0;5-292.
1055;5-292.21;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];10.0;2.0;5-292.
1056;5-300.y1;ICPM;['OPS'];1.0;1.0;5-300.y
1057;5-316.62;ICPM;['OPS', 'OPS', 'OPS', 'OPS'];4.0;1.0;5-316.6
1058;5-319.5;ops_v20;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];20.0;1.0;5-319.
1059;5-320.02;ICPM;['OPS'];1.0;1.0;5-320.0
1060;5-322.00;ICPM;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];68.0;2.0;5-322.
1061;5-322.01;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];68.0;2.0;5-322.
1062;5-322.21;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];68.0;2.0;5-322.
1063;5-322.61;OPS 2004;['OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS', 'OPS'];68.0;2.0;5-322.
